STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Arunachal Pradesh,ARUNACHAL WEST,0,3,Hand,1,1,51.0,3,4,50953,463775,1002950534,204955775
Arunachal Pradesh,ARUNACHAL WEST,0,34,A lady farmer carrying paddy on her head,2,0,56.0,3,2,43920,463775,38265000,0
Arunachal Pradesh,ARUNACHAL WEST,0,35,Book,1,1,42.0,3,1,27119,463775,300737886,7500000
Arunachal Pradesh,ARUNACHAL WEST,0,33,Maize,1,0,45.0,3,8,4766,463775,1955000,0
West Bengal,ASANSOL,1,1,Lotus,1,4,48.0,1,4,633378,1615865,59234826,5722184
West Bengal,ASANSOL,0,10,Flowers and Grass,2,0,65.0,1,2,435741,1615865,101582564,0
West Bengal,ASANSOL,0,8,"Hammer, Sickle and Star",1,3,59.0,1,2,87608,1615865,1618401,0
West Bengal,ASANSOL,0,3,Hand,1,0,37.0,1,6,21038,1615865,10163408,2629771
West Bengal,ASANSOL,0,36,Cot,1,0,62.0,1,2,12677,1615865,1748,0
Odisha,ASKA,1,37,Conch,2,0,70.0,1,11,552749,1541145,732470,0
Odisha,ASKA,0,1,Lotus,2,0,47.0,1,2,348042,1541145,16175950,17925000
Odisha,ASKA,0,8,Ears of Corn And Sickle,1,1,47.0,1,2,59978,1541145,329980,0
Kerala,ATTINGAL,1,3,Hand,1,7,63.0,1,8,380995,1350710,144098612,27622685
Kerala,ATTINGAL,0,8,"Hammer, Sickle and Star",1,0,56.0,1,3,342748,1350710,38448688,3611333
Kerala,ATTINGAL,0,1,Lotus,2,40,49.0,1,4,248081,1350710,1981638,0
Bihar,AURANGABAD,1,1,Lotus,1,3,53.0,1,2,427721,1742883,167895109,3746607
Maharashtra,AURANGABAD,1,38,Kite,1,4,50.0,1,2,389042,1886284,29562768,6800000
Bihar,AURANGABAD,1,4,Elephant,1,5,34.0,1,9,33772,1742883,12674177,824000
Bihar,AURANGABAD,0,39,Telephone,1,0,55.0,1,2,357169,1742883,20394370,471998
Maharashtra,AURANGABAD,0,19,Bow and Arrow,1,9,67.0,1,1,384550,1886284,89820322,31390310
Maharashtra,AURANGABAD,0,18,Tractor Chalata Kisan,1,2,41.0,1,4,283798,1886284,123952399,11017453
Maharashtra,AURANGABAD,0,3,Hand,1,0,56.0,1,1,91789,1886284,339452909,198464347
Bihar,AURANGABAD,0,18,Air Conditioner,1,0,62.0,1,4,24832,1742883,8389250,0
Bihar,AURANGABAD,0,40,CHESS BOARD,1,1,42.0,3,4,16589,1742883,6006600,0
Bihar,AURANGABAD,0,18,Almirah,1,0,43.0,1,4,15014,1742883,1275000,0
Bihar,AURANGABAD,0,41,Table,1,0,35.0,1,2,13680,1742883,3717856,0
Bihar,AURANGABAD,0,18,Balloon,1,0,58.0,2,9,11987,1742883,155000,0
Bihar,AURANGABAD,0,42,Tractor Chalata Kisan,1,0,46.0,1,4,11713,1742883,143780000,0
Assam,AUTONOMOUS DISTRICT,1,1,Lotus,1,2,49.0,3,4,381316,795945,20693570,5956209
Assam,AUTONOMOUS DISTRICT,0,3,Hand,1,0,76.0,3,2,141690,795945,7866276,0
Assam,AUTONOMOUS DISTRICT,0,18,Battery Torch,1,0,68.0,3,2,39583,795945,610218,0
